epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5366,2.79399,4.30304,2.22954,0.00436,0.27917,0.0092,0.0041,2.13563,4.00616,2.39844,0,0,0
2,36.623,2.65143,4.37787,2.06826,0.00438,0.27917,0.01004,0.00436,2.12246,4.02159,2.40059,1.24381e-05,1.24381e-05,1.24381e-05
3,54.8514,2.78978,4.35297,2.17514,0.00438,0.27917,0.0114,0.00474,2.11197,4.01187,2.37427,2.47525e-05,2.47525e-05,2.47525e-05
4,72.8697,2.7918,4.22534,2.251,0.00433,0.27917,0.01008,0.00415,2.08879,3.99634,2.35719,3.69431e-05,3.69431e-05,3.69431e-05
5,90.8867,2.49392,4.2051,2.05057,0.00433,0.27917,0.00975,0.00395,2.07684,3.99189,2.34258,4.901e-05,4.901e-05,4.901e-05
6,109.418,2.53121,4.19308,2.04614,0.00548,0.3625,0.03542,0.00574,1.99287,4.00754,2.27619,6.09531e-05,6.09531e-05,6.09531e-05
7,127.496,2.52073,4.1376,1.99618,0.00549,0.3625,0.03087,0.00516,1.94352,3.98162,2.24124,7.27725e-05,7.27725e-05,7.27725e-05
8,145.524,2.37659,4.11472,1.87282,0.00547,0.3625,0.09214,0.01939,1.94027,3.95782,2.22275,8.44681e-05,8.44681e-05,8.44681e-05
9,163.763,2.38156,4.02189,1.84641,0.00548,0.3625,0.09167,0.01972,1.93675,3.93814,2.17775,9.604e-05,9.604e-05,9.604e-05
10,182.003,2.24855,3.93758,1.85329,0.00653,0.4125,0.09282,0.02001,1.9249,3.9233,2.1222,0.000107488,0.000107488,0.000107488
11,200.067,2.26373,3.80615,1.82417,0.00654,0.4125,0.01351,0.00339,1.93544,3.93409,2.12643,0.000118812,0.000118812,0.000118812
12,218.027,2.16741,3.72164,1.71016,0.00538,0.32917,0.01257,0.00362,1.97588,3.92546,2.11427,0.000130013,0.000130013,0.000130013
13,236.057,2.17143,3.62495,1.62745,0.00519,0.35,0.02333,0.00526,2.08083,3.91454,2.14428,0.00014109,0.00014109,0.00014109
14,254.066,2.10499,3.52732,1.5788,0.00631,0.43333,0.05031,0.0098,2.26687,3.89165,2.13871,0.000152043,0.000152043,0.000152043
15,272.142,2.10821,3.36428,1.48798,0.00624,0.43333,0.13898,0.02993,2.26832,3.8325,2.00533,0.000162872,0.000162872,0.000162872
16,290.21,2.17379,3.29889,1.57922,0.00911,0.55833,0.09064,0.04481,2.03449,3.77757,1.80627,0.000173578,0.000173578,0.000173578
17,308.656,2.00874,3.117,1.41721,0.00909,0.55833,0.06872,0.04073,1.95899,3.75447,1.69955,0.00018416,0.00018416,0.00018416
18,326.713,1.89473,2.97681,1.39759,0.00909,0.55833,0.06872,0.04073,1.95899,3.75447,1.69955,0.000194618,0.000194618,0.000194618
19,344.799,1.92694,3.0479,1.3913,0.00913,0.55833,0.12413,0.0581,1.91551,3.7708,1.66493,0.000204953,0.000204953,0.000204953
20,362.784,1.89115,2.76882,1.38272,0.00913,0.55833,0.12413,0.0581,1.91551,3.7708,1.66493,0.000215163,0.000215163,0.000215163
21,380.808,1.99709,2.93529,1.40725,0.00924,0.55833,0.10274,0.06941,1.92349,3.70013,1.67121,0.00022525,0.00022525,0.00022525
22,398.776,1.83227,2.72986,1.42059,0.00924,0.55833,0.10274,0.06941,1.92349,3.70013,1.67121,0.000235213,0.000235213,0.000235213
23,416.746,2.00936,2.84354,1.41363,0.00936,0.55833,0.08758,0.05394,1.89292,3.63787,1.6635,0.000245053,0.000245053,0.000245053
24,434.744,1.99428,2.63704,1.47131,0.00936,0.55833,0.08758,0.05394,1.89292,3.63787,1.6635,0.000254768,0.000254768,0.000254768
25,452.662,1.76221,2.51637,1.31642,0.0077,0.49583,0.18166,0.10909,1.97784,3.64848,1.74487,0.00026436,0.00026436,0.00026436
26,470.613,1.68656,2.41139,1.36592,0.0077,0.49583,0.18166,0.10909,1.97784,3.64848,1.74487,0.000273828,0.000273828,0.000273828
27,488.7,1.84813,2.39878,1.43608,0.00778,0.49583,0.20316,0.12896,1.91413,3.64905,1.73003,0.000283172,0.000283172,0.000283172
28,507.301,1.80644,2.13988,1.3398,0.00778,0.49583,0.20316,0.12896,1.91413,3.64905,1.73003,0.000292393,0.000292393,0.000292393
29,525.418,1.79964,2.16939,1.31647,0.00791,0.49583,0.25354,0.15372,1.81779,3.58359,1.61719,0.00030149,0.00030149,0.00030149
30,543.36,1.57981,2.02328,1.28941,0.00791,0.49583,0.25354,0.15372,1.81779,3.58359,1.61719,0.000310463,0.000310463,0.000310463
31,561.44,1.78001,2.25152,1.43086,0.01009,0.62917,0.31158,0.17292,1.759,3.51446,1.55681,0.000319312,0.000319312,0.000319312
32,579.34,1.77447,2.14363,1.4216,0.01009,0.62917,0.31158,0.17292,1.759,3.51446,1.55681,0.000328038,0.000328038,0.000328038
33,597.534,1.79909,2.20898,1.35644,0.01244,0.69167,0.35234,0.20993,1.78723,3.45582,1.54559,0.00033664,0.00033664,0.00033664
34,615.54,1.70935,1.88134,1.30877,0.01244,0.69167,0.35234,0.20993,1.78723,3.45582,1.54559,0.000345118,0.000345118,0.000345118
35,633.558,1.65255,2.00006,1.33894,0.01561,0.80417,0.40063,0.2285,1.79685,3.40846,1.5448,0.000353472,0.000353472,0.000353472
36,651.61,1.70312,1.89613,1.31692,0.01561,0.80417,0.40063,0.2285,1.79685,3.40846,1.5448,0.000361703,0.000361703,0.000361703
37,669.626,1.78034,1.88382,1.39569,0.0153,0.80417,0.36874,0.18225,1.84072,3.3969,1.59084,0.00036981,0.00036981,0.00036981
38,687.95,1.59041,1.81834,1.29747,0.0153,0.80417,0.36874,0.18225,1.84072,3.3969,1.59084,0.000377793,0.000377793,0.000377793
39,705.944,1.64617,1.83255,1.30748,0.01389,0.75417,0.39528,0.18455,1.97591,3.39943,1.66542,0.000385653,0.000385653,0.000385653
40,723.887,1.54244,1.73399,1.24818,0.01389,0.75417,0.39528,0.18455,1.97591,3.39943,1.66542,0.000393388,0.000393388,0.000393388
41,742.064,1.58632,1.74588,1.20576,0.01449,0.76667,0.40152,0.18528,1.96493,3.36911,1.66418,0.000401,0.000401,0.000401
42,759.948,1.54429,1.64794,1.25443,0.01449,0.76667,0.40152,0.18528,1.96493,3.36911,1.66418,0.000408488,0.000408488,0.000408488
43,777.981,1.51735,1.64046,1.24512,0.01277,0.70417,0.35118,0.18599,2.06235,3.3942,1.78028,0.000415853,0.000415853,0.000415853
44,795.808,1.57706,1.66834,1.29092,0.01277,0.70417,0.35118,0.18599,2.06235,3.3942,1.78028,0.000423093,0.000423093,0.000423093
45,813.777,1.56527,1.75709,1.28598,0.01277,0.70417,0.34815,0.19224,1.99847,3.32257,1.71641,0.00043021,0.00043021,0.00043021
46,831.634,1.47581,1.58639,1.27633,0.01277,0.70417,0.34815,0.19224,1.99847,3.32257,1.71641,0.000437203,0.000437203,0.000437203
47,849.607,1.45586,1.62474,1.22007,0.01329,0.70417,0.40778,0.22203,2.02581,3.28119,1.71885,0.000444073,0.000444073,0.000444073
48,867.569,1.60048,1.51942,1.26699,0.01329,0.70417,0.40778,0.22203,2.02581,3.28119,1.71885,0.000450818,0.000450818,0.000450818
49,885.937,1.51199,1.575,1.21505,0.01246,0.65417,0.40899,0.21817,1.95077,3.25658,1.73941,0.00045744,0.00045744,0.00045744
50,903.779,1.55241,1.48628,1.18663,0.01246,0.65417,0.40899,0.21817,1.95077,3.25658,1.73941,0.000463938,0.000463938,0.000463938
51,921.904,1.48083,1.42487,1.16186,0.01409,0.70417,0.38498,0.24372,1.96157,3.29236,1.79296,0.000470312,0.000470312,0.000470312
